Super-Aggregation,Aggregation Level,Year,Sample Year End Date,Metric,Result Category,Concern Category,Proportion 2007,Lower Bound 2007,Upper Bound 2007,Change Analysis,Detectable,Proportion 2012,Lower Bound 2012,Upper Bound 2012,Proportions Difference,Lower Bound Difference,Upper Bound Difference,DiffEst,LB2-LB1,Significant
National,National,2007,12/31/07,Acidification,Non-Acidic,Good: Non-Acidic,0.56,0.53,0.59,No,No,0.99,0.98,0.99,-0.02,-0.07,0.02,0.028,0.069,Yes
National,National,2007,12/31/07,Acidification,Acidic (Natural),Good: Acidic (Natural),0.21,0.19,0.24,No,No,0.01,0.01,0.02,-0.02,-0.06,0.01,0.032,0.015,No
National,National,2007,12/31/07,Acidification,Acidic (Human Caused),Poor,0.22,0.20,0.25,No,No,0,0,0,0.05,0.01,0.08,0.083,0.083,No
National,National,2007,12/31/07,Dissolved Oxygen,Low (<= 3 mg/L),Poor,0.59,0.55,0.61,No,No,0.88,0.86,0.9,-0.01,-0.05,0.04,0.04,0.009,No
National,National,2007,12/31/07,Dissolved Oxygen,Moderate (>3-5 mg/L),Fair,0.29,0.26,0.32,No,No,0.06,0.04,0.07,-0.01,-0.05,0.03,0.016,0.052,Yes
National,National,2007,12/31/07,Dissolved Oxygen,High (>5 mg/L),Good,0.12,0.10,0.14,No,No,0.01,0.01,0.02,0.01,-0.02,0.04,0.012,0.003,Yes
National,National,2007,12/31/07,Dissolved Oxygen,No Data,No Data,0.73,0.70,0.75,No,Yes,0.05,0.03,0.06,-0.01,-0.05,0.03,0.049,0.035,Yes
National,National,2007,12/31/07,Benthic Invertebrates,Good (<20%),Good,0.20,0.18,0.23,Yes,Yes,0.54,0.51,0.57,-0.01,-0.05,0.02,0.044,0.006,No
National,National,2007,12/31/07,Benthic Invertebrates,Fair (20-40%),Fair,0.21,0.19,0.24,Yes,No,0.19,0.17,0.22,-0.02,-0.06,0.01,0.028,0.076,No
National,National,2007,12/31/07,Benthic Invertebrates,Poor (>40%),Poor,0.22,0.20,0.25,Yes,No,0.27,0.24,0.3,0.05,0.01,0.08,0.015,0.035,No
National,National,2007,12/31/07,Chlorophyll a,Low Risk,Good,0.59,0.55,0.61,Yes,No,0.58,0.55,0.61,-0.01,-0.05,0.04,0.039,0.025,Yes
National,National,2007,12/31/07,Chlorophyll a,Moderate Risk,Fair,0.29,0.26,0.32,Yes,No,0.28,0.26,0.31,-0.01,-0.05,0.03,0.022,0.066,Yes
