Indicator and Category (group),Indicator and Category,Condition Class Cateogorization
Highest Concern,Acidification_Poor-Acid_Mine,Highest Concern
,Atrazine_4_ppb_Above 4 ppb,Highest Concern
,Atrazine_Presence_Detected,Highest Concern
,Benthic_MMI_Poor,Highest Concern
,Chlorophyll_a_Risk_Index_High,Highest Concern
,Cyanobacteria_Risk_Index_High,Highest Concern
,Dissolved_Oxygen_Low (<= 3 ppm),Highest Concern
,Lake_Drawdown_Exposure_Large,Highest Concern
,Lake_Habitat_Complexity_Poor,Highest Concern
,Lakeshore_Disturbance_High,Highest Concern
,Methylmercury_Top_High,Highest Concern
,Microcystin_Presence_Detected,Highest Concern
,Microcystin_Risk_Index_High,Highest Concern
,Riparian_Vegetation_Cover_Poor,Highest Concern
,Shallow_Water_Habitat_Poor,Highest Concern
,Total_Mercury_Top_High,Highest Concern
,Total_Nitrogen_Poor,Highest Concern
,Total_Phosphorus_Poor,Highest Concern
,Trophic_State_Hypereutrophic,Highest Concern
,Zooplankton_Poor,Highest Concern
Least Concern,Acidification_Good,Least Concern
,Atrazine_4_ppb_Not Detected,Least Concern
,Atrazine_Presence_Not Detected,Least Concern
,Benthic_MMI_Good,Least Concern
,Chlorophyll_a_Risk_Index_Low,Least Concern
,Cyanobacteria_Risk_Index_Low,Least Concern
,Dissolved_Oxygen_High (>= 5 ppm),Least Concern
,Lake_Drawdown_Exposure_Small,Least Concern
,Lake_Habitat_Complexity_Good,Least Concern
,Lakeshore_Disturbance_Low,Least Concern
,Methylmercury_Top_Low,Least Concern
,Microcystin_Presence_Not Detected,Least Concern
,Microcystin_Risk_Index_Low,Least Concern
,Riparian_Vegetation_Cover_Good,Least Concern
,Shallow_Water_Habitat_Good,Least Concern
,Total_Mercury_Top_Low,Least Concern
,Total_Nitrogen_Good,Least Concern
,Total_Phosphorus_Good,Least Concern
,Zooplankton_Good,Least Concern
Moderate Concern,Acidification_Fair-Low_ANC_Dep,Moderate Concern
,Atrazine_4_ppb_Below 4 ppb,Moderate Concern
,Benthic_MMI_Fair,Moderate Concern
,Chlorophyll_a_Risk_Index_Moderate,Moderate Concern
,Cyanobacteria_Risk_Index_Moderate,Moderate Concern
,Dissolved_Oxygen_Moderate (> 3 - < 5 ppm),Moderate Concern
,Lake_Drawdown_Exposure_Medium,Moderate Concern
,Lake_Habitat_Complexity_Fair,Moderate Concern
,Lakeshore_Disturbance_Medium,Moderate Concern
,Methylmercury_Top_Medium,Moderate Concern
,Microcystin_Risk_Index_Moderate,Moderate Concern
,Riparian_Vegetation_Cover_Fair,Moderate Concern
,Shallow_Water_Habitat_Fair,Moderate Concern
,Total_Mercury_Top_Medium,Moderate Concern
,Total_Nitrogen_Fair,Moderate Concern
,Total_Phosphorus_Fair,Moderate Concern
,Zooplankton_Fair,Moderate Concern
Not Assessed,Atrazine_4_ppb_Not Assessed,Not Assessed
,Atrazine_Presence_Not Assessed,Not Assessed
,Benthic_MMI_Not Assessed,Not Assessed
,Chlorophyll_a_Risk_Index_Not Assessed,Not Assessed
,Cyanobacteria_Risk_Index_Not Assessed,Not Assessed
,Dissolved_Oxygen_Not Assessed,Not Assessed
,Lake_Drawdown_Exposure_Not Assessed,Not Assessed
,Lake_Habitat_Complexity_Not Assessed,Not Assessed
,Lakeshore_Disturbance_Not Assessed,Not Assessed
,Methylmercury_Top_Not Assessed,Not Assessed
,Microcystin_Presence_Not Assessed,Not Assessed
,Microcystin_Risk_Index_Not Assessed,Not Assessed
,Riparian_Vegetation_Cover_Not Assessed,Not Assessed
,Shallow_Water_Habitat_Not Assessed,Not Assessed
,Total_Mercury_Top_Not Assessed,Not Assessed
,Trophic_State_Not Assessed,Not Assessed
,Zooplankton_Not Assessed,Not Assessed
Not Detected,Chlorophyll_a_Risk_Index_Not Detected,Not Detected
,Microcystin_Risk_Index_Not Detected,Not Detected 
Not Otherwise Classified,Acidification_Natural_Organic_Acid,Acidification_Natural_Organic_Acid
,Trophic_State_Eutrophic,Trophic_State_Eutrophic
,Trophic_State_Mesotrophic,Trophic_State_Mesotrophic
,Trophic_State_Oligotrophic,Trophic_State_Oligotrophic
Total,Acidification_Total,Total
,Atrazine_4_ppb_Total,Total
,Atrazine_Presence_Total,Total
,Benthic_MMI_Total,Total
,Chlorophyll_a_Risk_Index_Total,Total
,Cyanobacteria_Risk_Index_Total,Total
,Dissolved_Oxygen_Total,Total
,Lake_Drawdown_Exposure_Total,Total
,Lake_Habitat_Complexity_Total,Total
,Lakeshore_Disturbance_Total,Total
,Methylmercury_Top_Total,Total
,Microcystin_Presence_Total,Total
,Microcystin_Risk_Index_Total,Total
,Riparian_Vegetation_Cover_Total,Total
,Shallow_Water_Habitat_Total,Total
,Total_Mercury_Top_Total,Total
,Total_Nitrogen_Total,Total
,Total_Phosphorus_Total,Total
,Trophic_State_Total,Total
,Zooplankton_Total,Total
