Metric category (calc),Metric subcategory,Indicator
Biological,Benthic invertebrates,Benthic Invertebrates
Biological,Zooplankton,Zooplankton
Chemical,Acidification,Acidification
Chemical,Dissolved Oxygen,Dissolved Oxygen
Chemical,Nitrogen (total),Nitrogen (total)
Chemical,Phosphorus (total),Phosphorus (total)
Chemical,Trophic state,Trophic State
Human Use,Algal toxins,Chlorophyll a Risk Index
Human Use,Algal toxins,Microcystin Presence
Human Use,Algal toxins,Microcystin Risk Index
Human Use,Algal toxins,Cyanobacteria Risk Index
Human Use,Atrazine,Atrazine Presence
Human Use,Atrazine,Atrazine 4 ppb
Human Use,Sediment mercury,Methylmercury Top
Human Use,Sediment mercury,Total Mercury Top
Physical,Drawdown,Drawdown
Physical,Lakeshore disturbance,Lakeshore Disturbance
Physical,Lakeshore habitat,Lakeshore Habitat
Physical,Physical habitat complexity,Physical Habitat Complexity
Physical,Shallow water habitat,Shallow Water Habitat
