Record,Type,Subpopulation,Indicator,Category,DiffEst.P,StdError.P,LCB95Pct.P,UCB95Pct.P,DiffEst.U,StdError.U,LCB95Pct.U,UCB95Pct.U,NResp_1,Estimate.P_1,StdError.P_1,LCB95Pct.P_1,UCB95Pct.P_1,Estimate.U_1,StdError.U_1,LCB95Pct.U_1,UCB95Pct.U_1,NResp_2,Estimate.P_2,StdError.P_2,LCB95Pct.P_2,UCB95Pct.P_2,Estimate.U_2,StdError.U_2,LCB95Pct.U_2,UCB95Pct.U_2,UB2-UB1,LB2-LB1
1,National,National,Total_Phosphorus,Good,-9.243512197,3.957659042,-17.00038138,-1.486643012,8383.778225,3795.614248,944.5109998,15823.04545,552,55.59520617,2.695635109,50.31185844,60.8785539,27545.01551,1846.471846,23925.99719,31164.03382,391,46.35169398,3.583275142,39.32860375,53.3747842,35928.79373,3861.571834,28360.25201,43497.33545,-7.5037697,-10.98325469
2,National,National,Total_Phosphorus,Fair,4.21756898,3.002835339,-1.667880136,10.10301809,6629.515959,2197.597347,2322.304307,10936.72761,129,12.015017,1.766997694,8.551765162,15.47826884,5952.920268,896.538431,4195.737233,7710.103304,172,16.23258598,2.509845757,11.31337869,21.15179327,12582.43623,2045.37071,8573.583301,16591.28915,5.67352443,2.761613528
3,National,National,Total_Phosphorus,Poor,5.025943217,3.743172771,-2.310540603,12.36242704,12954.48186,3245.638225,6593.147828,19315.81588,347,32.38977682,2.563712613,27.36499244,37.41456121,16047.73084,1506.434589,13095.1733,19000.28838,387,37.41572004,3.409633077,30.73296201,44.09847807,29002.2127,3221.372708,22688.43821,35315.98719,6.68391686,3.36796957
4,Lake_Origin,MAN_MADE,Total_Phosphorus,Good,-9.488323982,5.361142889,-19.99597096,1.019322996,2534.63241,1791.8474,-977.3239592,6046.58878,288,49.13837608,3.932053788,41.43169227,56.84505989,9987.359827,1079.898597,7870.797469,12103.92218,197,39.6500521,4.403337819,31.01966856,48.28043563,12521.99224,1619.399176,9348.028176,15695.9563,-8.56462426,-10.41202371
5,Lake_Origin,MAN_MADE,Total_Phosphorus,Fair,1.709467382,4.26624098,-6.652211288,10.07114605,2217.421981,1175.36287,-86.24691216,4521.090874,78,14.90320465,3.092693138,8.841637489,20.96477182,3029.071763,669.7958675,1716.295986,4341.84754,95,16.61267204,3.003309467,10.72629365,22.49905043,5246.493744,977.7309981,3330.176201,7162.811287,1.53427861,1.884656161
6,Lake_Origin,MAN_MADE,Total_Phosphorus,Poor,7.7788566,5.45825797,-2.919132439,18.47684564,6504.251983,2073.338833,2440.582542,10567.92142,220,35.95841927,3.924135008,28.26725598,43.64958255,7308.537658,918.7405726,5507.839225,9109.236092,234,43.73727587,4.737934319,34.45109524,53.02345649,13812.78964,2117.931195,9661.720778,17963.8585,9.37387394,6.18383926
7,Lake_Origin,NATURAL,Total_Phosphorus,Good,-9.156370619,5.586752999,-20.10620529,1.79346405,5863.371627,3390.594758,-782.0719841,12508.81524,263,60.11586808,3.643899136,52.97395701,67.25777915,17543.42987,1481.183815,14640.36294,20446.4968,194,50.95949746,5.1497925,40.86608963,61.05290529,23406.80149,3531.736799,16484.72456,30328.87842,-6.20487386,-12.10786738
8,Lake_Origin,NATURAL,Total_Phosphorus,Fair,5.952134901,4.052411735,-1.990446151,13.89471595,4412.093978,1837.577259,810.5087313,8013.679225,51,10.01911783,2.017211002,6.06545692,13.97277875,2923.848506,584.5401593,1778.170846,4069.526165,77,15.97125273,3.700172005,8.719048869,23.2234566,7335.942484,1795.42864,3816.967012,10854.91796,9.25067785,2.653591949
9,Lake_Origin,NATURAL,Total_Phosphorus,Poor,3.204235718,5.196174298,-6.980078763,13.3885502,6474.007364,2571.989929,1432.999735,11515.01499,125,29.86501409,3.455552011,23.0922566,36.63777157,8715.415694,1222.630508,6319.103931,11111.72746,153,33.06924981,4.631685597,23.99131285,42.14718676,15189.42306,2456.065436,10375.62326,20003.22286,5.50941519,0.89905625
10,WSA3_Ecoregions,EHIGH,Total_Phosphorus,Good,-21.97735951,8.389399502,-38.42028038,-5.534438631,-392.4910966,1230.647551,-2804.515975,2019.533782,125,65.33781482,5.22938291,55.08841265,75.58721698,6478.986679,922.3324155,4671.248363,8286.724995,72,43.36045531,6.848030855,29.93856147,56.78234915,6086.495582,877.9519639,4365.741353,7807.249811,-18.80486783,-25.14985118
