Record,Type,Subpopulation,Indicator,Metric Category,Category,NResp,Estimate.P,StdError.P,LCB95Pct.P,UCB95Pct.P,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
647,National,National,Acidification,Chemical,Good,1022,97.32367713,0.902716496,95.55438531,99.09296895,108826.1355,6905.52711,95291.55107,122360.7199
648,National,National,Acidification,Chemical,Fair-Low_ANC_Dep,10,2.223291699,0.885460091,0.487821811,3.958761587,2486.057358,995.1310255,535.6363885,4436.478328
649,National,National,Acidification,Chemical,Poor-Acid_Mine,2,0.068225983,0.044557314,0,0.155556714,76.28945252,49.4101013,0,173.1314715
650,National,National,Acidification,Chemical,Natural_Organic_Acid,4,0.384805192,0.164009585,0.063352312,0.706258073,430.2844203,181.6121782,74.33109193,786.2377487
651,National,National,Acidification,Chemical,Total,1038,100,0,100,100,111818.7667,6940.455764,98215.7234,125421.8101
652,Lake_Origin,MAN_MADE,Acidification,Chemical,Good,571,99.29730289,0.314608684,98.68068121,99.91392458,52236.2258,4218.964934,43967.20648,60505.24513
653,Lake_Origin,MAN_MADE,Acidification,Chemical,Fair-Low_ANC_Dep,3,0.557676351,0.297186802,0,1.140151779,293.3705845,154.6584613,0,596.4955986
654,Lake_Origin,MAN_MADE,Acidification,Chemical,Poor-Acid_Mine,2,0.145020754,0.095431915,0,0.332063871,76.28945252,49.43676991,0,173.1837411
655,Lake_Origin,MAN_MADE,Acidification,Chemical,Total,576,100,0,100,100,52605.88584,4213.28412,44348.00071,60863.77097
656,Lake_Origin,NATURAL,Acidification,Chemical,Good,451,95.57026925,1.698635532,92.24100478,98.89953371,56589.9097,5502.178107,45805.83877,67373.98062
657,Lake_Origin,NATURAL,Acidification,Chemical,Fair-Low_ANC_Dep,7,3.703057073,1.657483033,0.454450022,6.951664123,2192.686774,985.6561514,260.836216,4124.537332
658,Lake_Origin,NATURAL,Acidification,Chemical,Natural_Organic_Acid,4,0.72667368,0.333294519,0.073428427,1.379918932,430.2844203,191.1521132,55.63316284,804.9356778
659,Lake_Origin,NATURAL,Acidification,Chemical,Total,462,100,0,100,100,59212.88089,5523.665171,48386.69609,70039.06569
660,Size_Class,"(1,4]",Acidification,Chemical,Good,84,96.34774463,2.697423033,91.06089263,100,32897.06054,3875.721472,25300.78604,40493.33504
661,Size_Class,"(1,4]",Acidification,Chemical,Fair-Low_ANC_Dep,2,3.436503051,2.683885015,0,8.696821019,1173.362691,912.9468555,0,2962.705648
662,Size_Class,"(1,4]",Acidification,Chemical,Natural_Organic_Acid,1,0.215752322,0.196135274,0,0.600170395,73.66666667,65.25294138,0,201.5600817
663,Size_Class,"(1,4]",Acidification,Chemical,Total,87,100,0,100,100,34144.0899,3797.615281,26700.90072,41587.27907
664,Size_Class,"(10,20]",Acidification,Chemical,Good,171,98.72460551,0.7965044,97.16348557,100,11119.89016,728.292317,9692.463446,12547.31687
665,Size_Class,"(10,20]",Acidification,Chemical,Poor-Acid_Mine,1,0.456473892,0.395399673,0,1.231443011,51.41514122,44.42731998,0,138.4910883
