Year,Metric,Super-Aggregation,Aggregation Level,Metric Name Provided,Result Category,NResp,Proportion,StdError.P,Lower Bound,Upper Bound,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
2007,Phosphorus,Fed_nonFed,BLM,Total_Phosphorus,Good,10,0.522570845,0.119702931,0.287957411,0.757184279,206.41608,58.35951188,92.03353857,320.7986215
2007,Phosphorus,Fed_nonFed,BLM,Total_Phosphorus,Fair,4,0.237395017,0.113789977,0.014370759,0.460419274,93.77130237,51.58702619,0,194.8800158
2007,Phosphorus,Fed_nonFed,BLM,Total_Phosphorus,Poor,13,0.240034138,0.072821885,0.097305867,0.38276241,94.8137585,23.07408178,49.58938924,140.0381278
2007,Phosphorus,Fed_nonFed,BLM,Total_Phosphorus,Total,27,1,0,1,1,395.0011409,60.91229196,275.6152424,514.3870394
2007,Phosphorus,Fed_nonFed,DOD,Total_Phosphorus,Good,4,0.836484516,0.11803505,0.60514007,1,998.087161,623.983281,0,2221.071919
2007,Phosphorus,Fed_nonFed,DOD,Total_Phosphorus,Poor,3,0.163515484,0.11803505,0,0.39485993,195.1054706,102.7030086,0,396.3996685
2007,Phosphorus,Fed_nonFed,DOD,Total_Phosphorus,Total,7,1,0,1,1,1193.192632,620.4463397,0,2409.245112
2007,Phosphorus,Fed_nonFed,Forest Service,Total_Phosphorus,Good,53,0.748402692,0.07951839,0.592549512,0.904255871,4364.275668,1366.712201,1685.568977,7042.982359
2007,Phosphorus,Fed_nonFed,Forest Service,Total_Phosphorus,Fair,16,0.125632066,0.05193777,0.023835907,0.227428225,732.6175788,250.1585597,242.3158114,1222.919346
2007,Phosphorus,Fed_nonFed,Forest Service,Total_Phosphorus,Poor,18,0.125965243,0.057464612,0.013336673,0.238593812,734.5604841,309.6206395,127.7151818,1341.405786
2007,Phosphorus,Fed_nonFed,Forest Service,Total_Phosphorus,Total,87,1,0,1,1,5831.453731,1358.702121,3168.446507,8494.460955
2007,Phosphorus,Fed_nonFed,Non Federal,Total_Phosphorus,Good,332,0.422667828,0.035476119,0.353135913,0.492199743,42031.44844,4938.048647,32353.05094,51709.84594
2007,Phosphorus,Fed_nonFed,Non Federal,Total_Phosphorus,Fair,162,0.15490917,0.018845804,0.117972074,0.191846267,15404.6662,1774.763076,11926.19449,18883.13791
2007,Phosphorus,Fed_nonFed,Non Federal,Total_Phosphorus,Poor,369,0.422423002,0.034044549,0.355696913,0.489149091,42007.10221,4266.385428,33645.14042,50369.06399
2007,Phosphorus,Fed_nonFed,Non Federal,Total_Phosphorus,Total,863,1,0,1,1,99443.21685,6470.139834,86761.9758,112124.4579
2007,Phosphorus,Fed_nonFed,Tribal Land - US Census,Total_Phosphorus,Good,11,0.127905557,0.088251991,0,0.300876282,364.3001569,144.5965322,80.8961615,647.7041523
2007,Phosphorus,Fed_nonFed,Tribal Land - US Census,Total_Phosphorus,Fair,6,0.689381,0.178183909,0.340146956,1,1963.492527,1480.19779,0,4864.626887
2007,Phosphorus,Fed_nonFed,Tribal Land - US Census,Total_Phosphorus,Poor,10,0.182713443,0.114609995,0,0.407344906,520.4037824,202.4811291,123.5480619,917.2595029
2007,Phosphorus,Fed_nonFed,Tribal Land - US Census,Total_Phosphorus,Total,27,1,0,1,1,2848.196467,1454.397395,0,5698.76298
2007,Phosphorus,Fed_nonFed,US FWS,Total_Phosphorus,Good,7,0.089253402,0.063113972,0,0.212954515,154.1307793,45.76232053,64.43827923,243.8232794
